Ticker,IssueDate,AssetClass,Industry,sub-industry,Maturity,AnnounceDate,MtyType,Currency,%Women,%IndependentDirectors,AmtIssued,CouponType,BBGComposite,S&PRating,MoodyRating,Country/Region,CO2perEnergy,CO2perSales,CO2perEmployee
ANJIRC,11/19/2018,Corporates,Bank,Banks,11/19/2021,11/12/2018,AT MATURITY,CNY,#N/A N/A,#N/A N/A,43215300,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
BOCHON,11/23/2018,Corporates,Bank,Banks,11/23/2021,11/16/2018,AT MATURITY,CNY,#N/A N/A,#N/A N/A,431748000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
GLBANK,11/23/2018,Corporates,Bank,Banks,11/23/2021,11/16/2018,AT MATURITY,CNY,#N/A N/A,#N/A N/A,287832000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
QHXNRB,12/4/2018,Corporates,Bank,Banks,12/4/2021,11/28/2018,AT MATURITY,CNY,#N/A N/A,#N/A N/A,24864710,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
CHDATA,10/21/2016,Corporates,Industrial,Power Generation,10/21/2021,10/18/2016,AT MATURITY,CNY,0,33.33330154,73934000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
TERP,1/28/2015,Corporates,Industrial,Power Generation,2/1/2023,1/23/2015,CALLABLE,USD,#N/A Field Not Applicable,#N/A Field Not Applicable,950000000,STEP CPN,NR,NR,WR,UNITED STATES,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
PEGI,1/25/2017,Corporates,Industrial,Power Generation,2/1/2024,1/20/2017,CALLABLE,USD,#N/A N/A,#N/A N/A,350000000,FIXED,NR,NR,WR,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
YANTZE,11/21/2016,Corporates,Industrial,Power Generation,11/21/2026,11/16/2016,AT MATURITY,CNY,#N/A N/A,#N/A N/A,290174000,WHEN ISSUED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
TERP,7/17/2015,Corporates,Industrial,Power Generation,6/15/2025,7/14/2015,CALLABLE,USD,#N/A Field Not Applicable,#N/A Field Not Applicable,300000000,STEP CPN,NR,NR,WR,UNITED STATES,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
SO,11/16/2016,Corporates,Utility,Utilities,12/15/2019,11/10/2016,AT MATURITY,USD,#N/A N/A,#N/A N/A,600000000,FIXED,NR,NR,WR,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
AKUOEN,6/30/2015,Corporates,Industrial,Renewable Energy,6/30/2020,6/26/2015,AT MATURITY,EUR,#N/A Field Not Applicable,#N/A Field Not Applicable,38331829.9,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,FRANCE,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
PAPREC,3/23/2017,Corporates,Industrial,Waste & Environment Services & Equipment,4/1/2022,3/16/2017,CALLABLE,EUR,#N/A Field Not Applicable,#N/A Field Not Applicable,242577000,FUNGED,NR,#N/A N/A,WR,FRANCE,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
SUMITR,9/25/2018,Corporates,Bank,Financial Services,9/25/2020,9/18/2018,AT MATURITY,EUR,0,0,588625000,FLOATING,NR,NR,WR,JAPAN,151.494275,0.047894995,2.474156041
ICBCAS,6/21/2018,Corporates,Bank,Banks,6/21/2020,6/13/2018,AT MATURITY,HKD,16.66670036,41.66669846,331396000,FIXED,NR,#N/A N/A,WR,HONG KONG,#N/A N/A,#N/A N/A,#N/A N/A
ACAFP,10/3/2018,Corporates,Bank,Banks,10/3/2021,9/27/2018,CALLABLE,USD,#N/A N/A,#N/A N/A,375000000,FLOATING,NR,NR,Aa3,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
ESUNBK,4/24/2018,Corporates,Bank,Banks,4/24/2020,4/17/2018,AT MATURITY,TWD,#N/A N/A,#N/A N/A,37173510,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,TAIWAN,#N/A N/A,#N/A N/A,#N/A N/A
ACAFP,10/19/2018,Corporates,Bank,Banks,10/19/2028,10/17/2018,CALLABLE,USD,#N/A N/A,#N/A N/A,5000000,FIXED,A+,A+,Aa3,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
